[2025-10-15T13:16:09.939Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting in-memory cache
[2025-10-15T13:16:09.939Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:09.939Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Replacing tenant domain name 2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0 with id {tenantid}
[2025-10-15T13:16:09.939Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Item key: server-telemetry-72e913b2-423c-4625-8fa3-c948512a9f1d
[2025-10-15T13:16:09.939Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:09.939Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Item key: server-telemetry-72e913b2-423c-4625-8fa3-c948512a9f1d
[2025-10-15T13:16:09.939Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:09.940Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Replacing tenant domain name 2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0 with id {tenantid}
[2025-10-15T13:16:09.940Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [79f53132-6356-4873-a732-c4e97d46d4ed] : @azure/msal-common@15.13.0 : Info - Sending token request to endpoint: https://login.microsoftonline.com/2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0/oauth2/v2.0/token
[2025-10-15T13:16:09.940Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Item key: throttling.{"clientId":"72e913b2-423c-4625-8fa3-c948512a9f1d","authority":"https://login.microsoftonline.com/2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0","scopes":["https://management.core.windows.net//.default"],"authenticationScheme":"Bearer"}
[2025-10-15T13:16:09.940Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:09.940Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [79f53132-6356-4873-a732-c4e97d46d4ed] : @azure/msal-common@15.13.0 : Trace - Executing function networkClientSendPostRequestAsync
[2025-10-15T13:16:12.230Z] [INFO] [Wed, 15 Oct 2025 13:16:12 GMT] : [79f53132-6356-4873-a732-c4e97d46d4ed] : @azure/msal-common@15.13.0 : Trace - Error occurred in networkClientSendPostRequestAsync
[2025-10-15T13:16:12.230Z] [INFO] [Wed, 15 Oct 2025 13:16:12 GMT] : [79f53132-6356-4873-a732-c4e97d46d4ed] : @azure/msal-common@15.13.0 : Trace - {}
[2025-10-15T13:16:12.230Z] [INFO] [Wed, 15 Oct 2025 13:16:12 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Item key: server-telemetry-72e913b2-423c-4625-8fa3-c948512a9f1d
[2025-10-15T13:16:12.230Z] [INFO] [Wed, 15 Oct 2025 13:16:12 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:12.230Z] [INFO] [Wed, 15 Oct 2025 13:16:12 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Item key: server-telemetry-72e913b2-423c-4625-8fa3-c948512a9f1d
[2025-10-15T13:16:12.230Z] [INFO] [Wed, 15 Oct 2025 13:16:12 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:12.230Z] [INFO] [Wed, 15 Oct 2025 13:16:12 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Setting cache key value store
[2025-10-15T13:16:12.230Z] [INFO] MSAL v3 - retrying getMSALToken - temporary error code: network_error
[2025-10-15T13:16:12.230Z] [INFO] MSAL v3 - retrying getMSALToken - remaining attempts: 3 - retry minseconds: 2000
[2025-10-15T13:16:14.232Z] [INFO] MSAL v3 - getMSALToken called.
[2025-10-15T13:16:14.232Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Info - acquireTokenByClientCredential called
[2025-10-15T13:16:14.232Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - initializeRequestScopes called
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [67febc26-65c4-4d9e-991b-738f75b5fac2] : @azure/msal-node@3.8.0 : Verbose - createAuthority called
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Executing function authorityResolveEndpointsAsync
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Retrieving all cache keys
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Item key: authority-metadata-72e913b2-423c-4625-8fa3-c948512a9f1d-login.windows.net
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Executing function authorityUpdateCloudDiscoveryMetadata
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Attempting to get cloud discovery metadata  from authority configuration
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Known Authorities:
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Authority Metadata: N/A
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Canonical Authority: https://login.microsoftonline.com/2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0/
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Did not find cloud discovery metadata in the config... Attempting to get cloud discovery metadata from the hardcoded values.
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Found cloud discovery metadata from hardcoded values.
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Returning result from authorityUpdateCloudDiscoveryMetadata
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Executing function authorityUpdateEndpointMetadata
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Attempting to get endpoint metadata from authority configuration
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Did not find endpoint metadata in the config... Attempting to get endpoint metadata from the hardcoded values.
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Returning result from authorityUpdateEndpointMetadata
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Item key: authority-metadata-72e913b2-423c-4625-8fa3-c948512a9f1d-login.windows.net
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Setting cache key value store
[2025-10-15T13:16:14.233Z] [INFO] [Wed, 15 Oct 2025 13:16:14 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Returning result from authorityResolveEndpointsAsync
